quantified_toxicity,Formulation,Helper_lipid_ID,Comment,Lipid/Cells,mRNA/Cells,Lipid_name,Experiment_ID,Cargo_type,Model_type,Experiment_weight,unnormalized_delivery,Cationic_Lipid_Mol_Ratio,Cationic_Lipid_to_mRNA_weight_ratio,mRNA/cells,toxicity_class,delivery_class,unnormalized_toxicity
0.97318,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2694",3.2619482826353634,1.252762968495368,2A9-3T,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.97318
0.9751,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2695",3.2764326644371877,1.252762968495368,2A9V-3T,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.9751
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2698",3.703321795245405,1.252762968495368,4A3-3T,Lee_unsat,mRNA,IGROV1,1.0,6.15,,,,0.0,2.0,1.0
0.95594,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2699",3.9052298430594576,1.252762968495368,6A3-3T,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.95594
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2701",3.2619482826353634,1.252762968495368,2A9-3C,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2702",3.2764326644371877,1.252762968495368,2A9V-3C,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2705",3.703321795245405,1.252762968495368,4A3-3C,Lee_unsat,mRNA,IGROV1,1.0,6.15,,,,0.0,2.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2706",3.9052298430594576,1.252762968495368,6A3-3C,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2707",3.383319139049451,1.252762968495368,2A2-SC8,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2708",3.321654478787611,1.252762968495368,2A9-SC8,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2709",3.3347312028969744,1.252762968495368,2A9V-SC8,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,1.0
0.95594,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2710",3.584996188451511,1.252762968495368,3A4-SC8,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.95594
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2711",3.773744446820072,1.252762968495368,4A1-SC8,Lee_unsat,mRNA,IGROV1,1.0,5.69,,,,0.0,2.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2713",3.948830759736345,1.252762968495368,6A3-SC8,Lee_unsat,mRNA,IGROV1,1.0,6.15,,,,0.0,2.0,1.0
0.99425,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2714",3.422451636210043,1.252762968495368,2A2-Ne,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.99425
0.94444,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2715",3.3652366449401283,1.252762968495368,2A9-Ne,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.94444
0.98084,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2716",3.3773445214851754,1.252762968495368,2A9V-Ne,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.98084
0.91954,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2717",3.6243099924977136,1.252762968495368,3A4-Ne,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.91954
0.96935,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2718",3.8076702223927503,1.252762968495368,4A1-Ne,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.96935
0.96935,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2719",3.788584994244936,1.252762968495368,4A3-Ne,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.96935
0.9272,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2720",3.979871875061105,1.252762968495368,6A3-Ne,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.9272
0.94061,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2722",3.2619482826353634,1.252762968495368,2A9-4T,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.94061
0.92529,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2723",3.2764326644371877,1.252762968495368,2A9V-4T,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.92529
0.86782,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2726",3.703321795245405,1.252762968495368,4A3-4T,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.86782
0.86973,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2727",3.9052298430594576,1.252762968495368,6A3-4T,Lee_unsat,mRNA,IGROV1,1.0,6.15,,,,0.0,2.0,0.86973
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2729",3.2619482826353634,1.252762968495368,2A9-4C,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,1.0
0.99234,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2730",3.2764326644371877,1.252762968495368,2A9V-4C,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.99234
0.92529,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2733",3.703321795245405,1.252762968495368,4A3-4C,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.92529
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2734",3.9052298430594576,1.252762968495368,6A3-4C,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,1.0
0.94061,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2736",3.3139984179883344,1.252762968495368,2A9-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.94061
0.91762,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2737",3.327250379244418,1.252762968495368,2A9V-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.91762
0.87356,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2740",3.746586358234752,1.252762968495368,4A3-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,5.69,,,,0.0,2.0,0.87356
0.95402,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2741",3.943309635474374,1.252762968495368,6A3-SC8/2,Lee_unsat,mRNA,IGROV1,1.0,6.15,,,,0.0,2.0,0.95402
0.98084,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2742",3.519821128266478,1.252762968495368,2A2-Far,Lee_unsat,mRNA,IGROV1,1.0,5.69,,,,0.0,2.0,0.98084
0.95594,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2743",3.4727236378628867,1.252762968495368,2A9-Far,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,0.95594
0.91762,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2744",3.4826421068189366,1.252762968495368,2A9V-Far,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.91762
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2745",3.7201107101799264,1.252762968495368,3A4-Far,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,1.0
